prod_photo,prod_link,prod_name,prod_price,rating,no_of_ratings,sponsored,sale_last_month
https://m.media-amazon.com/images/I/81Ukrsf8VUL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjk3MDc5ODk5MzUzOTkwOjE3MjUwMTg2NTA6c3BfYXRmX25leHQ6MzAwMDA5NDM3MTY0NjMyOjowOjo&url=%2FElectric-Heating-heating-Muscles-Rechargeable%2Fdp%2FB0C1VRV5FY%2Fref%3Dsr_1_49_sspa%3Fdib%3DeyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o%26dib_tag%3Dse%26keywords%3Dheat%2Bwater%2Bbag%26qid%3D1725018650%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Elove Electric Heating Gel Pad for Pain Relief Heat Pouch Hot Water Bottle Bag auto cut Electric Hot Water Bag heating pad For Cramps Sore Muscles Rechargeable Hot Water Bag (Color & Design May Vary),252,3.7,676 ,Sponsored,0
https://m.media-amazon.com/images/I/61qwfFcSsNL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjk3MDc5ODk5MzUzOTkwOjE3MjUwMTg2NTA6c3BfYXRmX25leHQ6MzAwMjE0ODcwMTM1NjMyOjowOjo&url=%2FMELVIS%25C2%25AE-Water-Rubber-Relief-Therapy%2Fdp%2FB097H3PJSN%2Fref%3Dsr_1_51_sspa%3Fdib%3DeyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o%26dib_tag%3Dse%26keywords%3Dheat%2Bwater%2Bbag%26qid%3D1725018650%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"MELVIS® Premium Rubber Hot Water Bag - Reusable Pain Relief & Relaxation for Aches, Cramps, and Cold Nights - Eco-Friendly & Leak-Proof Design - Portable Comfort Solution (MULTICOLOR)",199,4.1,68 ,Sponsored,400+
https://m.media-amazon.com/images/I/71NZZzEz1SL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjk3MDc5ODk5MzUzOTkwOjE3MjUwMTg2NTA6c3BfYXRmX25leHQ6MjAwNTc4OTUxMjYzMDY6OjA6Og&url=%2FSahyog-Wellness-Electrical-Bottle-Relief%2Fdp%2FB084KKRY9N%2Fref%3Dsr_1_52_sspa%3Fdib%3DeyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o%26dib_tag%3Dse%26keywords%3Dheat%2Bwater%2Bbag%26qid%3D1725018650%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Sahyog Wellness Electrical Hot Water Heating Bag/Bottle/Pad (Multi-color) (Color May Vary),381,4.1,391 ,Sponsored,0
https://m.media-amazon.com/images/I/81FwX7Cd48L._AC_UL320_.jpg,https://www.amazon.in/ANTILS-Water-Rubber-Relief-Therapy/dp/B09NRSJ1VP/ref=sr_1_53?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-53,ANTIL'S 2L Hot Water Rubber bag & Cold Water Ice Bag Combo for Pain Relief Therapy,320,4.1,295 ,Not-Sponsored,50+
https://m.media-amazon.com/images/I/713-6ZUCs4L._AC_UL320_.jpg,https://www.amazon.in/SHAYONAM-Heating-electric-heating-Multicolour/dp/B0D77LNYCB/ref=sr_1_54?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-54,SHAYONAM Heating Bag with Gel hot Water Bag hot bags for pain relief hot water bag electric hot pack heat pad electric for pain relief electric heating pad for back pain (Multicolour),299,1.0,3 ,Not-Sponsored,200+
https://m.media-amazon.com/images/I/61OOCY8lTOL._AC_UL320_.jpg,https://www.amazon.in/Lifelong-LLM612-Insulation-Technology-Electric/dp/B09NSHQC2H/ref=sr_1_55?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-55,"Lifelong LLM612 Hot Water Bag for Full Body Pain Relief|Dual Insulation Silicon Technology|Heating Gel Pad Heat Pouch Hot Water Bottle Bag|Electric Gel Heating Bag (1 Year Warranty, Pink)",673,3.9,488 ,Not-Sponsored,0
https://m.media-amazon.com/images/I/71vvJaRcRJL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDkyMjU1MzI3MjA1MzYzOjE3MjUwMTg2NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTA0OTkxMzMxNzk4OjowOjo&url=%2FCareforce-Relief-Sports-Massage-Cramps%2Fdp%2FB0BMQJP1WD%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26cv_ct_cx%3Dheat%2Bwater%2Bbag%26dib%3DeyJ2IjoiMSJ9.7ln7hXL3z7m6OBm8cd46MkH0oR2j2Rx9KYO6fB1tSwQ2UneKVW1-XvvvJwi0U2Y-j32D8I9IiTdx1uW-oiptuQ.oe7A3IZa_zPGpURputke8GwHGLTMc4HT2CMUuh82wJc%26dib_tag%3Dse%26keywords%3Dheat%2Bwater%2Bbag%26pd_rd_i%3DB0BMQJP1WD%26pd_rd_r%3D91c45b14-c42f-449a-a85c-27e8d607011e%26pd_rd_w%3DHmauO%26pd_rd_wg%3DELCDt%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DXKWN96D7M88QNR511GE8%26qid%3D1725018650%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-49-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Careforce Hot Water Bag Hot Bags for Pain Relief in Shoulder, Back, Neck Heating Pad for Period Cramps Hot Pack Bag for Body Pain Relief Heat Bag for Period Pain - Blue",299,4.1,"1,612 ",Not-Sponsored,200+
https://m.media-amazon.com/images/I/81Wy39yb3QL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDkyMjU1MzI3MjA1MzYzOjE3MjUwMTg2NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI0NjUyODA2NjYzMjo6MTo6&url=%2FCrescent-Non-Electric-Relaxation-Soothing-Capacity%2Fdp%2FB0BX3TP4T4%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26cv_ct_cx%3Dheat%2Bwater%2Bbag%26dib%3DeyJ2IjoiMSJ9.7ln7hXL3z7m6OBm8cd46MkH0oR2j2Rx9KYO6fB1tSwQ2UneKVW1-XvvvJwi0U2Y-j32D8I9IiTdx1uW-oiptuQ.oe7A3IZa_zPGpURputke8GwHGLTMc4HT2CMUuh82wJc%26dib_tag%3Dse%26keywords%3Dheat%2Bwater%2Bbag%26pd_rd_i%3DB0BX3TP4T4%26pd_rd_r%3D91c45b14-c42f-449a-a85c-27e8d607011e%26pd_rd_w%3DHmauO%26pd_rd_wg%3DELCDt%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DXKWN96D7M88QNR511GE8%26qid%3D1725018650%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-50-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Crescent Non-Electric Rubber Hot Water Bag for Muscle Relaxation, aches Soothing and Pain Relieve| Unisex| Water Storage Capacity: 1.5 L| Color: Red",229,4.0,225 ,Not-Sponsored,50+
https://m.media-amazon.com/images/I/61-5tEtiRjL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDkyMjU1MzI3MjA1MzYzOjE3MjUwMTg2NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEyNTI2NTYwMDEzMjo6Mjo6&url=%2FWazdorf-heating-electric-Pad-Heat-Electric%2Fdp%2FB09VL4HVWB%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26cv_ct_cx%3Dheat%2Bwater%2Bbag%26dib%3DeyJ2IjoiMSJ9.7ln7hXL3z7m6OBm8cd46MkH0oR2j2Rx9KYO6fB1tSwQ2UneKVW1-XvvvJwi0U2Y-j32D8I9IiTdx1uW-oiptuQ.oe7A3IZa_zPGpURputke8GwHGLTMc4HT2CMUuh82wJc%26dib_tag%3Dse%26keywords%3Dheat%2Bwater%2Bbag%26pd_rd_i%3DB09VL4HVWB%26pd_rd_r%3D91c45b14-c42f-449a-a85c-27e8d607011e%26pd_rd_w%3DHmauO%26pd_rd_wg%3DELCDt%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DXKWN96D7M88QNR511GE8%26qid%3D1725018650%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-51-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Wazdorf heating bag, hot water bags for pain relief, heating bag electric gel, Heating Gel Pad-Heat Pouch Hot Water Bottle Bag, Electric Hot Water Bag, Heating Pad (A1-heating bag)",249,4.4,"1,162 ",Not-Sponsored,500+
https://m.media-amazon.com/images/I/61VDv7Krc5L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDkyMjU1MzI3MjA1MzYzOjE3MjUwMTg2NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDY2Mzg0OTE2MzA2OjozOjo&url=%2FSahyog-Wellness-Water-Bottle-Non-Electrical%2Fdp%2FB0813XHLZW%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26cv_ct_cx%3Dheat%2Bwater%2Bbag%26dib%3DeyJ2IjoiMSJ9.7ln7hXL3z7m6OBm8cd46MkH0oR2j2Rx9KYO6fB1tSwQ2UneKVW1-XvvvJwi0U2Y-j32D8I9IiTdx1uW-oiptuQ.oe7A3IZa_zPGpURputke8GwHGLTMc4HT2CMUuh82wJc%26dib_tag%3Dse%26keywords%3Dheat%2Bwater%2Bbag%26pd_rd_i%3DB0813XHLZW%26pd_rd_r%3D91c45b14-c42f-449a-a85c-27e8d607011e%26pd_rd_w%3DHmauO%26pd_rd_wg%3DELCDt%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DXKWN96D7M88QNR511GE8%26qid%3D1725018650%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-52-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,Sahyog Wellness Hot Water Bottle/Bag - Non-Electrical for Pain Relief (2 Litre - Green with cover) (Cover color May Vary),339,4.0,927 ,Not-Sponsored,0
https://m.media-amazon.com/images/I/512YMApiAoL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDkyMjU1MzI3MjA1MzYzOjE3MjUwMTg2NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDQ3ODcxNjM4MTk4Ojo0Ojo&url=%2FSKYTONE-Transparent-Silicone-Water-Relief%2Fdp%2FB09ZQVTP77%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26cv_ct_cx%3Dheat%2Bwater%2Bbag%26dib%3DeyJ2IjoiMSJ9.7ln7hXL3z7m6OBm8cd46MkH0oR2j2Rx9KYO6fB1tSwQ2UneKVW1-XvvvJwi0U2Y-j32D8I9IiTdx1uW-oiptuQ.oe7A3IZa_zPGpURputke8GwHGLTMc4HT2CMUuh82wJc%26dib_tag%3Dse%26keywords%3Dheat%2Bwater%2Bbag%26pd_rd_i%3DB09ZQVTP77%26pd_rd_r%3D91c45b14-c42f-449a-a85c-27e8d607011e%26pd_rd_w%3DHmauO%26pd_rd_wg%3DELCDt%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DXKWN96D7M88QNR511GE8%26qid%3D1725018650%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-53-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,SKYTONE Transparent Silicone Hot Water Bag for Pain Relief (Green),379,4.1,282 ,Not-Sponsored,0
https://m.media-amazon.com/images/I/71lWvy6vIGL._AC_UL320_.jpg,https://www.amazon.in/Careforce-Electric-Shoulder-Periods-Bag-Polka/dp/B0BTYYNSYG/ref=sr_1_56?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-56,"Careforce - The Force Behind Your Health Electric Hot Water Bag Hot Bags In Shoulder,Back,Neck And Full Body Electric Heating Pad In Period Cramps Electric Heating Bag-Polka Dotted- Red",209,3.5,"1,509 ",Not-Sponsored,0
https://m.media-amazon.com/images/I/61kiCwiQbLL._AC_UL320_.jpg,https://www.amazon.in/Onprix-Portable-Cartoon-Bottle-Durable/dp/B0CMJ6HV7Y/ref=sr_1_57?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-57,Onprix Portable Cartoon Cute Hot Water Bag Soft Plush Hot Water Bottle Durable Hand Warmer Winter Warm (500ml) (Multi-color),499,4.0,23 ,Not-Sponsored,400+
https://m.media-amazon.com/images/I/71IOvqu6DKL._AC_UL320_.jpg,https://www.amazon.in/Crescent-Non-Electric-Relaxation-Soothing-Capacity/dp/B0BX3QPCQT/ref=sr_1_58?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-58,"Crescent Non-Electric Rubber Hot Water Bag for Muscle Relaxation, aches Soothing and Pain Relieve| Unisex| Water Storage Capacity: 1.5 L| Color: Green",199,3.6,46 ,Not-Sponsored,0
https://m.media-amazon.com/images/I/71u36NFyAJL._AC_UL320_.jpg,https://www.amazon.in/Sifoz-Relief-Electric-Heating-Period/dp/B0CLGMR54B/ref=sr_1_59?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-59,Sifoz Hot Water Bag For Pain Relief Electric Heating Pad for Back Pain Hot Bags Heat Pouch Hot Pack for Period Cramps,329,3.9,446 ,Not-Sponsored,100+
https://m.media-amazon.com/images/I/819gMeof6IL._AC_UL320_.jpg,https://www.amazon.in/Twipan-Electric-Heating-Periods-Multicolor/dp/B0CL22K8GM/ref=sr_1_60?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-60,"Twipan Electric Hot Water Bag Heating Bag Heat Pad Pouch for Full Body Pain Relief in Periods Cramps, Sport Injury, Back Pain (Multicolor Pack of 1)",250,3.6,57 ,Not-Sponsored,50+
https://m.media-amazon.com/images/I/416z8p7q7DL._AC_UL320_.jpg,https://www.amazon.in/heating-electric-Pad-Heat-Electric-Multi-Coloured/dp/B09N9Y4S4L/ref=sr_1_61?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-61,"HUSB® heating bag, hot water bags for pain relief, heating bag electric, Heating Pad-Heat Pouch Hot Water Bottle Bag, Electric Hot Water Bag,Heating Pad For Pain Relief (Multi-Coloured)",349,4.2,"1,342 ",Not-Sponsored,0
https://m.media-amazon.com/images/I/71ecq46htZS._AC_UL320_.jpg,https://www.amazon.in/Thermocare-Rubber-bottle-heating-electric/dp/B08DR8PBVV/ref=sr_1_62?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-62,"Thermocare Hot Water Bag,Rubber bottle heating pad non electric warm bag pain relief device multi color",219,4.0,"2,053 ",Not-Sponsored,0
https://m.media-amazon.com/images/I/61Ug+gSj6fL._AC_UL320_.jpg,https://www.amazon.in/ORANCLE-CARE-Designed-Electric-Pad-Heat/dp/B0C6XX8LC6/ref=sr_1_63?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-63,"ORANCLE CARE Elegant Designed Velvet Electric Heating bag, hot water bags, Heating Gel Pad-Heat Pouch Hot Water Bottle Bag, Electric Heating Water Pad For Pain Relief (1.5 Ltr Water Capicity) (Grey)",272,3.9,151 ,Not-Sponsored,0
https://m.media-amazon.com/images/I/71sccTuokjL._AC_UL320_.jpg,https://www.amazon.in/Sirona-Menstrual-Arthritis-Retention-Automatic/dp/B0BCJV1VK3/ref=sr_1_64?dib=eyJ2IjoiMSJ9.c60hajfMpEAqtdvobf5p-vRiFCx2C6QlBWqQjcnezemOrf4gd6zoqBbmELfR_ByxrXSxHL3AUnDzaUcSVF8Qfvnkk6tZcTYRCLjP0uPGeHmRi45rAei7a4Vwu5jlNbBzSUpNqdvh7HD-fTGj9fk-beVOD5gmRZlBzL3jvrt6KI1CCxLGNfv5ETxbcFN0urLkMQIFyTH25HpuuFQzuHzacFOj4x8vPLgK9U8gel7VMydToxdUXNXz4HoHmfdR0oL4un9dUcGz_UFqoYHABQnNZA.f2_Gpw4YlK_gOGIf_cDW0snsuxJbBmhGHvHl-4vHX1o&dib_tag=se&keywords=heat+water+bag&qid=1725018650&sr=8-64,"Sirona Electric Hot Water Bag for Instant Pain Relief | Heating Pad for Menstrual Cramps, Arthritis Aches, and Back Pain | 2 Hours Heat Retention | Quick Charging | Automatic Heat Control Multicolour",399,3.9,133 ,Not-Sponsored,0
