prod_photo,prod_link,prod_name,prod_price,rating,no_of_ratings,sponsored,sale_last_month
https://m.media-amazon.com/images/I/71aBAPCVc8L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODc4MTczODc5MTc5MjA5OjE3MjUzMzg5NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI1NDA1NDQxNDUzMjo6MDo6&url=%2FBoult-Wireless-Earbuds-Playtime-Breathing%2Fdp%2FB0CVLCR6ZY%2Fref%3Dsxin_35_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%253Aamzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.6VqaLGKDz2fNbCfwNGTShsFEgEpkYysWTI3KTJStjH8s2wAzrXwAe8MEpsubaDdQ1yeGvSQIDuQ4xdxz-uh3LQ.gjBuIpud3uh3u8dehoW1DN8rvwYT1c_5gemEFd6R2Ro%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CVLCR6ZY%26pd_rd_r%3D2ce497c4-55b2-49b6-8958-9a8e1f1cf350%26pd_rd_w%3DfqiuH%26pd_rd_wg%3DmvkeE%26pf_rd_p%3Dcb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26pf_rd_r%3DHM9PBKJEHBYKV79Y1GGV%26qid%3D1725338940%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear Buds TWS, Made in India (White Opal)","1,199",4.2,"6,730 ",Not-Sponsored,4K+
https://m.media-amazon.com/images/I/71hMZ91Q3KL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODc4MTczODc5MTc5MjA5OjE3MjUzMzg5NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMxMzIwOTAyNTMzMjo6MTo6&url=%2FBoult-Launched-Wireless-Bluetooth-Earbuds%2Fdp%2FB0D22QWQHR%2Fref%3Dsxin_35_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%253Aamzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.6VqaLGKDz2fNbCfwNGTShsFEgEpkYysWTI3KTJStjH8s2wAzrXwAe8MEpsubaDdQ1yeGvSQIDuQ4xdxz-uh3LQ.gjBuIpud3uh3u8dehoW1DN8rvwYT1c_5gemEFd6R2Ro%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D22QWQHR%26pd_rd_r%3D2ce497c4-55b2-49b6-8958-9a8e1f1cf350%26pd_rd_w%3DfqiuH%26pd_rd_wg%3DmvkeE%26pf_rd_p%3Dcb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26pf_rd_r%3DHM9PBKJEHBYKV79Y1GGV%26qid%3D1725338940%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio Newly Launched Z20 Pro, Truly Wireless Bluetooth Ear Buds with 60 Hours Playtime, 4 Mics Clear Calling, 45ms Low Latency, Rich Bass Drivers, TWS Earbuds Bluetooth Wireless (Powder Blue)",999,4.1,360 ,Not-Sponsored,3K+
https://m.media-amazon.com/images/I/71hDPfQHtKL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODc4MTczODc5MTc5MjA5OjE3MjUzMzg5NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4NjUwNDc1MTAzMjo6Mjo6&url=%2FMivi-SuperPods-Flagship-Soundstage-Transparency%2Fdp%2FB0D797S8BT%2Fref%3Dsxin_35_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%253Aamzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.6VqaLGKDz2fNbCfwNGTShsFEgEpkYysWTI3KTJStjH8s2wAzrXwAe8MEpsubaDdQ1yeGvSQIDuQ4xdxz-uh3LQ.gjBuIpud3uh3u8dehoW1DN8rvwYT1c_5gemEFd6R2Ro%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D797S8BT%26pd_rd_r%3D2ce497c4-55b2-49b6-8958-9a8e1f1cf350%26pd_rd_w%3DfqiuH%26pd_rd_wg%3DmvkeE%26pf_rd_p%3Dcb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26pf_rd_r%3DHM9PBKJEHBYKV79Y1GGV%26qid%3D1725338940%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Mivi SuperPods Halo [Flagship Launch] Adaptive Quiet ANC Earbuds with 3D Soundstage, Spatial Audio, Transparency Mode, 60H Playtime, 13mm Drivers True Wireless Earbuds","1,999",4.6,202 ,Not-Sponsored,800+
https://m.media-amazon.com/images/I/719xn0KawFL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODc4MTczODc5MTc5MjA5OjE3MjUzMzg5NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIyOTI3NDE1MzEzMjo6Mzo6&url=%2FBoult-Launched-Earbuds-Breathing-Bluetooth%2Fdp%2FB0D63CNLJ9%2Fref%3Dsxin_35_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%253Aamzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.6VqaLGKDz2fNbCfwNGTShsFEgEpkYysWTI3KTJStjH8s2wAzrXwAe8MEpsubaDdQ1yeGvSQIDuQ4xdxz-uh3LQ.gjBuIpud3uh3u8dehoW1DN8rvwYT1c_5gemEFd6R2Ro%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D63CNLJ9%26pd_rd_r%3D2ce497c4-55b2-49b6-8958-9a8e1f1cf350%26pd_rd_w%3DfqiuH%26pd_rd_wg%3DmvkeE%26pf_rd_p%3Dcb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26pf_rd_r%3DHM9PBKJEHBYKV79Y1GGV%26qid%3D1725338940%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult x Mustang Torq Newly Launched Truly Wireless in Ear Earbuds with 50H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, Breathing LEDs, 13mm Drivers, Made in India ear buds TWS Bluetooth 5.4","1,999",4.1,"1,170 ",Not-Sponsored,5K+
https://m.media-amazon.com/images/I/61yzSa7SHwL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODc4MTczODc5MTc5MjA5OjE3MjUzMzg5NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIwNTAyODE2NTIzMjo6NDo6&url=%2FBoult-Wireless-Earbuds-Playtime-Charging%2Fdp%2FB0D3R1LVR3%2Fref%3Dsxin_35_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%253Aamzn1.sym.cb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.6VqaLGKDz2fNbCfwNGTShsFEgEpkYysWTI3KTJStjH8s2wAzrXwAe8MEpsubaDdQ1yeGvSQIDuQ4xdxz-uh3LQ.gjBuIpud3uh3u8dehoW1DN8rvwYT1c_5gemEFd6R2Ro%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D3R1LVR3%26pd_rd_r%3D2ce497c4-55b2-49b6-8958-9a8e1f1cf350%26pd_rd_w%3DfqiuH%26pd_rd_wg%3DmvkeE%26pf_rd_p%3Dcb608b1c-c215-4c3c-8e0a-e1e34a11ff0e%26pf_rd_r%3DHM9PBKJEHBYKV79Y1GGV%26qid%3D1725338940%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, Touch Controls, IPX5 ear buds TWS (Space Black)",799,4.1,"2,940 ",Not-Sponsored,5K+
https://m.media-amazon.com/images/I/71g4CMwdYyL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYzNTA2NDMyMDI1OTEyOjE3MjUzMzg5NDg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI1NDA1NDQxNDQzMjo6MDo6&url=%2FBoult-Wireless-Earbuds-Playtime-Breathing%2Fdp%2FB0CVKQX997%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.ZVa94AnOtDEIrtKyBUIBmn-uhax7YmSpqeofdJv4ZM_qRRmi8nh71qICRZUiCCYRXMWCHjOGb2ROOV9VS3Nx7g.7XbrXIoWX2TTOPC7Ms7IuNoiMpJzv-1G1ONSWS4rAzY%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CVKQX997%26pd_rd_r%3D2aac2f8b-d8e9-4bdc-928e-b44145188fd9%26pd_rd_w%3DfTutI%26pd_rd_wg%3DLWtmG%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DT2F9F3TPQBQ3EQKCX61C%26qid%3D1725338947%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-17-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear Buds TWS, Made in India (Smoky Metal)","1,299",4.2,"6,730 ",Not-Sponsored,4K+
https://m.media-amazon.com/images/I/51-3rfCGrdL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYzNTA2NDMyMDI1OTEyOjE3MjUzMzg5NDg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEzNTA0NjgxNDUzMjo6MTo6&url=%2FNoise-Launched-Wireless-Playtime-Instacharge%2Fdp%2FB0CQJZD55X%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.ZVa94AnOtDEIrtKyBUIBmn-uhax7YmSpqeofdJv4ZM_qRRmi8nh71qICRZUiCCYRXMWCHjOGb2ROOV9VS3Nx7g.7XbrXIoWX2TTOPC7Ms7IuNoiMpJzv-1G1ONSWS4rAzY%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CQJZD55X%26pd_rd_r%3D2aac2f8b-d8e9-4bdc-928e-b44145188fd9%26pd_rd_w%3DfTutI%26pd_rd_wg%3DLWtmG%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DT2F9F3TPQBQ3EQKCX61C%26qid%3D1725338947%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-18-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Noise Buds N1 in-Ear Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency(up to 40 ms), Instacharge(10 min=120 min), BT v5.3(Ice Blue)","1,299",4.2,"10,378 ",Not-Sponsored,1K+
https://m.media-amazon.com/images/I/717WNnH13EL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYzNTA2NDMyMDI1OTEyOjE3MjUzMzg5NDg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMxMjg5MzE0MDYzMjo6Mjo6&url=%2FMivi-DuoPods-earbuds-dimension-Soundstage%2Fdp%2FB0CT5BY3CL%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.ZVa94AnOtDEIrtKyBUIBmn-uhax7YmSpqeofdJv4ZM_qRRmi8nh71qICRZUiCCYRXMWCHjOGb2ROOV9VS3Nx7g.7XbrXIoWX2TTOPC7Ms7IuNoiMpJzv-1G1ONSWS4rAzY%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CT5BY3CL%26pd_rd_r%3D2aac2f8b-d8e9-4bdc-928e-b44145188fd9%26pd_rd_w%3DfTutI%26pd_rd_wg%3DLWtmG%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DT2F9F3TPQBQ3EQKCX61C%26qid%3D1725338947%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-19-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Mivi DuoPods i7 Earbuds - Step into The 3rd Dimension of Sound with 3D Soundstage, High Fidelity Drivers, Advanced Audio Codec for Lossless Audio, etc.","1,499",4.2,"3,620 ",Not-Sponsored,300+
https://m.media-amazon.com/images/I/61HLrSJAwiL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYzNTA2NDMyMDI1OTEyOjE3MjUzMzg5NDg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI5MjAwMjk1NzEzMjo6Mzo6&url=%2FBoult-Launched-Wireless-Earbuds-Bluetooth%2Fdp%2FB0D63DJ7B7%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.ZVa94AnOtDEIrtKyBUIBmn-uhax7YmSpqeofdJv4ZM_qRRmi8nh71qICRZUiCCYRXMWCHjOGb2ROOV9VS3Nx7g.7XbrXIoWX2TTOPC7Ms7IuNoiMpJzv-1G1ONSWS4rAzY%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D63DJ7B7%26pd_rd_r%3D2aac2f8b-d8e9-4bdc-928e-b44145188fd9%26pd_rd_w%3DfTutI%26pd_rd_wg%3DLWtmG%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DT2F9F3TPQBQ3EQKCX61C%26qid%3D1725338947%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-20-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult x Mustang Dash Newly Launched Truly Wireless in Ear Earbuds with 100H Playtime, Built-in App Support, Dual Device Pairing, Quad Mic ENC, 45ms Low Latency, IPX5 Ear Buds TWS Bluetooth 5.4","1,699",4.1,"1,170 ",Not-Sponsored,500+
https://m.media-amazon.com/images/I/51xEhJo5izL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYzNTA2NDMyMDI1OTEyOjE3MjUzMzg5NDg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIyMzI3MzczNjAzMjo6NDo6&url=%2FBoult-Wireless-Earbuds-Playtime-Charging%2Fdp%2FB0CTCVBRLF%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.ZVa94AnOtDEIrtKyBUIBmn-uhax7YmSpqeofdJv4ZM_qRRmi8nh71qICRZUiCCYRXMWCHjOGb2ROOV9VS3Nx7g.7XbrXIoWX2TTOPC7Ms7IuNoiMpJzv-1G1ONSWS4rAzY%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CTCVBRLF%26pd_rd_r%3D2aac2f8b-d8e9-4bdc-928e-b44145188fd9%26pd_rd_w%3DfTutI%26pd_rd_wg%3DLWtmG%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DT2F9F3TPQBQ3EQKCX61C%26qid%3D1725338947%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-21-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio K40 True Wireless in Ear Earbuds with 48H Playtime, Clear Calling 4 Mics, 45ms Low Latency Gaming, Premium Grip, 13mm Bass Drivers, Type-C Fast Charging, BTv 5.3 Ear Buds TWS (Khaki Green)","1,299",4.0,"3,371 ",Not-Sponsored,500+
https://m.media-amazon.com/images/I/61b8STGCCxL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDM5MjkwNzkzODUxMDQ2OjE3MjUzMzg5NTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMxMjg5MzE0MDgzMjo6MDo6&url=%2FMivi-DuoPods-Wireless-Playtime-Charging%2Fdp%2FB0CRTJH57W%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.QEkWNSrF0f8bceuKIo9MI-kRkCgAqOy7QiuOpDZOyFK8D59UsjxgchpghNP9JT6qrVma-VZOcQr02WEjuCjc1Q.njUQRf6nwa9vlaRpUvIc6DJKbrWvoOkqjB0Vvoe9AuQ%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CRTJH57W%26pd_rd_r%3Dd02e78f4-4bea-485d-9948-062da71afadd%26pd_rd_w%3DbwdiE%26pd_rd_wg%3D742qm%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DEP3J2X9N8GM75D0W63S8%26qid%3D1725338952%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-33-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Mivi DuoPods i2 True Wireless Earbuds, 45+ Hrs Playtime, HD Call Clarity, Fast Charging, Type C, 13mm Bass Drivers, IPX 4.0 Sweat Proof, BT v5.3, Made in India Earbuds - Black",999,4.2,"3,520 ",Not-Sponsored,2K+
https://m.media-amazon.com/images/I/71UEM43FlwL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDM5MjkwNzkzODUxMDQ2OjE3MjUzMzg5NTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE0ODc1NDcwMTYzMjo6MTo6&url=%2FBoult-Wireless-Earbuds-Playtime-Breathing%2Fdp%2FB0CVLB99YR%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.QEkWNSrF0f8bceuKIo9MI-kRkCgAqOy7QiuOpDZOyFK8D59UsjxgchpghNP9JT6qrVma-VZOcQr02WEjuCjc1Q.njUQRf6nwa9vlaRpUvIc6DJKbrWvoOkqjB0Vvoe9AuQ%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CVLB99YR%26pd_rd_r%3Dd02e78f4-4bea-485d-9948-062da71afadd%26pd_rd_w%3DbwdiE%26pd_rd_wg%3D742qm%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DEP3J2X9N8GM75D0W63S8%26qid%3D1725338952%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-34-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear Buds TWS, Made in India (Black Gloss)","1,199",4.2,"6,730 ",Not-Sponsored,5K+
https://m.media-amazon.com/images/I/710dy4BFjLL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDM5MjkwNzkzODUxMDQ2OjE3MjUzMzg5NTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMxNDQ4MzUwNjkzMjo6Mjo6&url=%2FBoult-Wireless-Earbuds-Playtime-Charging%2Fdp%2FB0D3R1JQ7D%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.QEkWNSrF0f8bceuKIo9MI-kRkCgAqOy7QiuOpDZOyFK8D59UsjxgchpghNP9JT6qrVma-VZOcQr02WEjuCjc1Q.njUQRf6nwa9vlaRpUvIc6DJKbrWvoOkqjB0Vvoe9AuQ%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D3R1JQ7D%26pd_rd_r%3Dd02e78f4-4bea-485d-9948-062da71afadd%26pd_rd_w%3DbwdiE%26pd_rd_wg%3D742qm%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DEP3J2X9N8GM75D0W63S8%26qid%3D1725338952%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-35-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, Touch Control, IPX5 ear buds TWS (Glacier Blue)",799,4.1,"2,940 ",Not-Sponsored,5K+
